0.0016,176.13
0.0066,212.81
0.0116,259.94
0.0166,307.88
0.0216,356.14
0.0266,407.59
0.0317,464.64
0.0367,531.13
0.0417,607.26
0.0467,685.96
0.0517,773.02
0.0567,850.02
0.0617,926.59
0.0668,1024.38
0.0718,1059.77
0.0768,1068.06
0.0818,1075.28
0.0868,1082.77
0.0918,1090.04
0.0968,1056.16
0.1018,1004.80
0.1069,941.51
0.1119,807.26
0.1169,765.83
0.1219,724.02
0.1269,675.38
0.1319,560.55
0.1369,496.83
0.1419,447.23
0.1470,411.56
0.1520,389.74
0.1570,383.76
0.1620,390.52
0.1670,409.09
0.1720,436.28
0.1770,468.54
0.1820,504.51
0.1871,542.05
0.1921,578.15
0.1971,610.90
0.2021,655.00
0.2071,661.94
0.2121,661.96
0.2171,661.96
0.2221,659.35
0.2272,643.35
0.2322,624.53
0.2372,595.81
0.2422,565.43
0.2472,527.85
0.2522,490.78
0.2572,449.72
0.2622,410.87
0.2673,371.09
0.2723,334.93
0.2773,298.27
0.2823,266.00
0.2873,236.29
0.2923,210.39
0.2973,188.72
0.3024,171.62
0.3074,157.72
0.3124,149.36
0.3174,143.72
0.3224,141.53
0.3274,142.05
0.3324,147.00
0.3374,154.38
0.3425,163.49
0.3475,178.41
0.3525,199.59
0.3575,200.54
0.3625,200.68
0.3675,200.05
0.3725,217.80
0.3775,221.95
0.3826,223.07
0.3876,222.28
0.3926,217.33
0.3976,212.08
0.4026,203.32
0.4076,196.27
0.4126,187.13
0.4176,179.66
0.4227,172.15
0.4277,165.44
0.4327,159.33
0.4377,155.97
0.4427,154.32
0.4477,154.32
0.4527,155.53
0.4577,156.49
0.4628,159.04
0.4678,159.20
0.4728,160.72
0.4778,160.72
0.4828,160.72
0.4878,159.12
0.4928,155.92
0.4978,152.51
0.5029,145.96
0.5079,141.00
0.5129,135.25
0.5179,130.30
0.5229,126.75
0.5279,124.39
0.5329,122.93
0.5379,122.34
0.5430,123.94
0.5480,125.71
0.5530,129.54
0.5580,134.02
0.5630,139.13
0.5680,143.92
0.5730,147.93
0.5781,149.52
0.5831,150.78
0.5881,149.52
0.5931,149.52
0.5981,147.00
0.6031,143.93
0.6081,139.85
0.6131,134.54
0.6182,128.79
0.6232,123.84
0.6282,119.95
0.6332,117.93
0.6382,117.55
0.6432,117.55
0.6482,117.55
0.6532,117.55
0.6583,119.54
0.6633,122.34
0.6683,125.45
0.6733,129.60
0.6783,133.54
0.6833,133.54
0.6883,131.94
0.6933,128.85
0.6984,125.54
0.7034,123.94
0.7084,122.34
0.7134,119.44
0.7184,114.48
0.7234,107.11
0.7284,100.58
0.7334,96.76
0.7385,101.74
0.7435,118.68
0.7485,144.73
